anio,edad,sexo,cantidad_personas,condicion_asist_escolar
2010,11.0,m,15,Nunca asistió
2010,11.0,m,108,No asiste pero asistió
2010,11.0,m,-,Ignorado
2010,11.0,v,14899,Asiste
2010,11.0,v,21,Nunca asistió
2010,11.0,v,113,No asiste pero asistió
2010,11.0,v,-,Ignorado
2010,12.0,m,14335,Asiste
2010,12.0,m,19,Nunca asistió
2010,12.0,m,175,No asiste pero asistió
2010,12.0,m,-,Ignorado
2010,12.0,v,14871,Asiste
2010,12.0,v,23,Nunca asistió
2010,12.0,v,161,No asiste pero asistió
2010,12.0,v,-,Ignorado
2010,13.0,m,13828,Asiste
2010,13.0,m,23,Nunca asistió
2010,13.0,m,368,No asiste pero asistió
2010,13.0,m,-,Ignorado
2010,13.0,v,14169,Asiste
2010,13.0,v,23,Nunca asistió
2010,13.0,v,395,No asiste pero asistió
2010,13.0,v,-,Ignorado
2010,14.0,m,15180,Asiste
2010,14.0,m,22,Nunca asistió
2010,14.0,m,356,No asiste pero asistió
2010,14.0,m,-,Ignorado
2010,14.0,v,15374,Asiste
2010,14.0,v,22,Nunca asistió
2010,14.0,v,353,No asiste pero asistió
2010,14.0,v,-,Ignorado
2010,15.0,m,14856,Asiste
2010,15.0,m,20,Nunca asistió
2010,15.0,m,462,No asiste pero asistió
2010,15.0,m,-,Ignorado
2010,15.0,v,15108,Asiste
2010,15.0,v,30,Nunca asistió
2010,15.0,v,498,No asiste pero asistió
2010,15.0,v,-,Ignorado
2010,16.0,m,13611,Asiste
2010,16.0,m,23,Nunca asistió
2010,16.0,m,1455,No asiste pero asistió
2010,16.0,m,-,Ignorado
2010,16.0,v,13619,Asiste
2010,16.0,v,34,Nunca asistió
2010,16.0,v,1611,No asiste pero asistió
2010,16.0,v,-,Ignorado
2010,17.0,m,13343,Asiste
2010,17.0,m,31,Nunca asistió
2010,17.0,m,2143,No asiste pero asistió
2010,17.0,m,-,Ignorado
2010,17.0,v,13229,Asiste
2010,17.0,v,37,Nunca asistió
2010,17.0,v,2411,No asiste pero asistió
2010,17.0,v,-,Ignorado
2010,18.0,m,13507,Asiste
2010,18.0,m,42,Nunca asistió
2010,18.0,m,4589,No asiste pero asistió
2010,18.0,m,-,Ignorado
2010,18.0,v,12751,Asiste
2010,18.0,v,49,Nunca asistió
2010,18.0,v,4714,No asiste pero asistió
2010,18.0,v,-,Ignorado
2010,19.0,m,13466,Asiste
2010,19.0,m,51,Nunca asistió
2010,19.0,m,6744,No asiste pero asistió
2010,19.0,m,-,Ignorado
2010,19.0,v,11982,Asiste
2010,19.0,v,58,Nunca asistió
2010,19.0,v,7207,No asiste pero asistió
2010,19.0,v,-,Ignorado
2010,20.0,m,13712,Asiste
